Language-Inhouse,Countofcuny_First_Emplid
,8529
Afrikaans,5
Akan,5
Albanian,47
Amharic,2
Arabic,181
Armenian,4
Bengali,373
Berber,4
Bulgarian,3
Burmese,34
Byelorussian,2
Cantonese,31
Cebuano,5
Chinese,411
Creole,97
Czech,3
Dutch-Flemish,5
Dzongkha,8
English,5868
Esperanto,1
Ewe,2
Farsi,10
Fon,2
French,89
Fula,13
Futa Jalon,3
Galician,1
Georgian,5
German,9
Greek,38
Gujarati,18
Hausa,4
Hebrew,3
Hindi,44
Hungarian,7
Igbo,9
Indonesian,12
Italian,9
Japanese,45
Javanese,3
Kannada,1
Karen,1
Kashmiri,1
Kazakh,2
Khmer,1
Kirghiz,1
Korean,130
Lao,1
Latin,4
Lithuanian,1
Macedonian,3
Malay,1
Malayalam,2
Malinke-Bambara-Dyula,8
Mandarin,11
Moldavian,1
Mongolian,3
More,2
Nepali,218
Nyanja,1
Pampangan,1
Pangasinan,1
Pashtu,5
Persian,7
Pilipino,24
Polish,119
Portuguese,39
Punjabi,39
Romanian,37
Russian,69
Serbo-Croatian,25
Shona,1
Sinhalese,5
Slovak,7
Somali,1
Soninke,1
Spanish,2298
Swahili,2
Swedish,1
Tagalog,114
Tajiki,3
Tamil,2
Telugu,1
Thai,18
Tibetan,96
Tigrinya,1
Tiv,1
Turkish,21
Turkmen,2
Twi-Fante,13
Uighur,1
Ukrainian,28
Urdu,73
Uzbek,20
Vietnamese,8
Wolof,10
Yoruba,15
